RestaurantName,Category,Pricing,Locality,DiningRating,DiningReviewCount,DeliveryRatingCount
The Salt Cafe Kitchen & Bar,"North Indian, Chinese, Continental, Fast Food",1800," Preet Vihar, New Delhi",4.4,2213,1973
La Roca,"Turkish, Asian, Modern Indian, European, Beverages",2000," Worldmark 1, Aerocity, New Delhi",4.4,725,0
Breakin' Brew,"North Indian, Asian, Continental, American, Italian, Desserts, Beverages",1100," Karkardooma, New Delhi",4.4,472,430
The Sky Patio,"North Indian, Chinese, Italian, Beverages, Desserts",1300," Sector 81, Faridabad",4.4,708,0
The Chatter House,"Finger Food, Italian, North Indian, Beverages",2000," Epicuria Food Mall, Nehru Place, New Delhi",4.4,2946,597
Liv Bar,"Italian, Continental, Beverages",1900," Worldmark 1, Aerocity, New Delhi",4.4,875,1
Gastronomica Kitchen & Bar,"European, Asian, North Indian, Italian, Continental",2300," M Block Market, Greater Kailash 1 (GK1), New Delhi",4.4,3779,3964
Ping's Café Orient,"Asian, Chinese, Thai",1800," Lodhi Colony, New Delhi",4.4,1080,1069
Yeti - The Himalayan Kitchen,"Tibetan, Nepalese, Momos, Chinese, Beverages",1500," The Colonnade, Connaught Place, New Delhi",4.4,448,266
Havemore,"North Indian, Mughlai, Beverages",2300," Pandara Road Market, New Delhi",4.4,2437,1294
The Barbeque Company,"North Indian, Chinese, BBQ, Mughlai",1200," Sector 29, Gurgaon",4.4,3118,3974
High Bae,"Chinese, North Indian, Continental, Italian, Mughlai",1400," Satyaniketan, New Delhi",4.4,543,0
Aslam Chicken,North Indian,300," Jama Masjid, New Delhi",4.4,2333,0
Time Machine,"North Indian, Continental, Chinese, Italian, Finger Food",2000," Gardens Galleria, Sector 38 Noida, Noida",4.4,2563,76
Walking Street,"Bar Food, Asian, North Indian, Continental",1300," Sector 29, Gurgaon",4.4,597,0
I Sacked Newton,"North Indian, Continental, Chinese, Italian, Thai, Mughlai, Street Food, Desserts",2100," Logix City Centre, Sector 32, Noida, Noida",4.4,1887,0
Daryaganj - By The Inventors Of Butter Chicken And Dal Makhani,"North Indian, Mughlai, Desserts, Seafood, Kebab, Biryani",1500," Connaught Place, New Delhi",4.4,479,516
Sattvik,"North Indian, Fast Food, Desserts",2100," Select Citywalk Mall, Saket, New Delhi",4.4,1537,601
Xero Degrees,"Cafe, Fast Food, Beverages, Desserts",750," Connaught Place, New Delhi",4.4,1876,783
Biryani By Kilo,"Biryani, Hyderabadi, Mughlai, Kebab",700," Connaught Place, New Delhi",4.4,1116,4246
United Coffee House Rewind,"North Indian, European, Asian, Mediterranean, Desserts",2100," Cyber Hub, DLF Cyber City, Gurgaon",4.4,1340,370
Dhaba-  Estd 1986 Delhi,"Mughlai, Biryani, North Indian, Desserts, Beverages",2000," Aerocity, New Delhi",4.4,1950,604
Cafe Uncover,"Cafe, North Indian, Chinese, Continental, Beverages",800," Sector 12, Dwarka, New Delhi",4.4,911,161
Guppy,"Asian, Japanese, Sushi, Chinese, Momos, Beverages",3200," Lodhi Colony, New Delhi",4.4,1201,498
Rigo Restaurant,"Momos, Pizza, Chinese, Italian, Thai, Tibetan, Asian, Beverages",1000," Majnu ka Tila, New Delhi",4.4,1002,1114
Matchbox,"American, British, Continental, Salad",1700," Hauz Khas Village, New Delhi",4.4,1614,208
Desi Vibes,"North Indian, Mughlai, Kebab, Beverages",2200," Connaught Place, New Delhi",4.4,1888,822
Lord Of The Drinks Forum,"Continental, North Indian, Italian, Beverages",2500," Epicuria Food Mall, Nehru Place, New Delhi",4.4,4098,3
Uncle's Sip & Bite,"Fast Food, Beverages",600," Prashant Vihar, New Delhi",4.4,1848,822
